method,average_function_value,average_error,average_time_duration,average_total_memory
Algorytm Ewolucji Roznicowej,3.521581445377122e-154,3.521581445377122e-154,0.5437787199020385,0.000703125
Algorytm Strategii Ewolucyjnych,2.456577968937636e-84,2.456577968937636e-84,0.5974319553375245,0.000546875
Algorytm Genetyczny,1.9897404549635368e-05,1.9897404549635368e-05,0.617053611278534,0.00046875
System Sztucznego Rozpoznawania Ukladu Immunologicznego,0.11792774255504995,0.11792774255504995,0.2170041561126709,0.0012890625
Algorytm Selekcji Klonalnej,4.656754984877183e-08,4.656754984877183e-08,13.932874254151887,0.2981770833333333
Algorytm Komorek Dendrytycznych,0.007196910015860072,0.007196910015860072,0.48927845001220704,0.0006640625
Algorytm Memetyczny,4.6567549848771835e-08,4.6567549848771835e-08,14.72462344646454,0.0015234375
Algorytm Harmonijnego Przeszukiwania,1.8318325774626774e-06,1.8318325774626774e-06,0.23518368005752563,0.0003125
Algorytm Symulowanego Wyzarzania,0.008742762793597843,0.008742762793597843,0.42458195686340333,0.000625
Zachlanny Algorytm Losowego Adaptacyjnego Przeszukiwania,0.0013191417633530856,0.0013191417633530856,0.6130359315872193,0.0005859375
Losowe Poszukiwanie,0.13158435472841393,0.13158435472841393,0.4106163740158081,0.0005859375
Przeszukiwanie z Zakazem,0.0010833973948969114,0.0010833973948969114,0.6114659690856934,7.8125e-05
System Kolonii Mrowek,0.013386536658163486,0.013386536658163486,0.4433910322189331,0.0005859375
Algorytm Optymalizacji Rojem Czastek,0.001470995856924045,0.001470995856924045,0.5730510139465332,0.00046875
Algorytm Optymalizacji Poprzez Rozwoj Bakteryjny,1.8066291002034568e-06,1.8066291002034568e-06,1461.9234902858734,1.4609375